Resolution,MeetingType,MeetingDate,Result,VoteCount,YesCount,NoCount,PrimaryDomain,SecondaryDomain,VoteType,DirectionOfYes,Confidence,Notes
"That with respect to Report C2022-1051, the following be added as Recommendation 7: 7. Council directs Administration to come prepared for the 2022 December 13 Strategic Meeting of Council to engage in: a. a review of practices, policies and procedures (including the budget process) and communications that were successful or unsuccessful in 2022; and b. creation of a process by which Council will provide guidance/direction to Administration to: i. revisit the existing budget process to examine its merits and challenges, ii. explore ways of ensuring that future budget documents better align with Councils Plain Language Policy CS014; iii. potentially reconstruct the 2024, 2025 and 2026 budgets with Administration to ensure future base operating and capital budgets include the investments necessary to advance Calgary as an increasingly equitable and accessible city - including but not limited to investments in housing, mobility and transit are embedded in future base operating and capital budgets; the reconstructed base budgets for future; and iv. revisit operating and capital plans and priorities to ensure expeditious delivery of projects and programs that are rooted in the core values and policies of Council, including but not limited to truth and reconciliation, the 5A Network, low-income transit passes, improved transit frequency, affordable housing, mental health supports, and equity index maps.",Regular Meeting of Council,2022/11/25,MOTION CARRIED,15,12,3,,,,,,
"That the amendment to Report C2022-1051 to add a recommendation 7 be amended by replacing the amendment with the following: 7. Council directs Administration to come prepared for the 2022 December 13 Strategic Meeting of Council to engage in: a. a review of practices, policies and procedures (including the budget process) and communications that were successful or unsuccessful in 2022; and b. creation of a process by which Council will provide guidance/direction to Administration to: i. revisit the existing budget process to examine its merits and challenges, ii. explore ways of ensuring that future budget documents better align with Councils Plain Language Policy CS014; iii. potentially reconstruct the 2024, 2025 and 2026 budgets with Administration to ensure future base operating and capital budgets include the investments necessary to advance Calgary as an increasingly equitable and accessible city ;- including but not limited to investments in housing, mobility and transit are embedded in future base operating and capital budgets; the reconstructed base budgets for future; and iv. revisit operating and capital plans and priorities to ensure expeditious delivery of projects and programs that are rooted in the core values and policies of Council, including but not limited to truth and reconciliation, the 5A Network, low-income transit passes, improved transit frequency, affordable housing, mental health supports, and equity index maps.",Regular Meeting of Council,2022/11/25,MOTION CARRIED,15,15,0,,,,,,
"That with respect to Report C2022-1051, the following be adopted, as amended: That Council: 7. Council directs Administration to come prepared for the 2022 December 13 Strategic Meeting of Council to engage in: a. a review of practices, policies and procedures (including the budget process) and communications that were successful or unsuccessful in 2022; and b. creation of a process by which Council will provide guidance/direction to Administration to: i. revisit the existing budget process to examine its merits and challenges, ii. explore ways of ensuring that future budget documents better align with Councils Plain Language Policy CS014; iii. potentially reconstruct the 2024, 2025 and 2026 budgets with Administration to ensure future ;base operating and capital budgets include the investments necessary to advance Calgary as an increasingly equitable and accessible city - including but not limited to ;investments in ;housing, mobility and transit are embedded in ;future base operating and capital budgets; ;the reconstructed base budgets for future; and iv. revisit operating and capital ;plans and priorities to ensure expeditious delivery of projects and programs that are rooted in the core values and policies of Council, including but not limited to truth and reconciliation, the 5A Network, low-income transit passes, improved transit frequency, affordable housing, mental health supports, and equity index maps.",Regular Meeting of Council,2022/11/08,MOTION CARRIED,15,12,3,,,,,,
"That with respect to Report C2022-1051, the following be adopted, as amended: That Council: 7. Council directs Administration to come prepared for the 2022 December 13 Strategic Meeting of Council to engage in: a. a review of practices, policies and procedures (including the budget process) and communications that were successful or unsuccessful in 2022; and b. creation of a process by which Council will provide guidance/direction to Administration to: i. revisit the existing budget process to examine its merits and challenges, ii. explore ways of ensuring that future budget documents better align with Councils Plain Language Policy CS014; iii. potentially reconstruct the 2024, 2025 and 2026 budgets with Administration to ensure future ;base operating and capital budgets include the investments necessary to advance Calgary as an increasingly equitable and accessible city - including but not limited to ;investments in ;housing, mobility and transit are embedded in ;future base operating and capital budgets; ;the reconstructed base budgets for future; and iv. revisit operating and capital ;plans and priorities to ensure expeditious delivery of projects and programs that are rooted in the core values and policies of Council, including but not limited to truth and reconciliation, the 5A Network, low-income transit passes, improved transit frequency, affordable housing, mental health supports, and equity index maps.",Regular Meeting of Council,2022/11/25,MOTION CARRIED,15,12,3,,,,,,
"That with respect to Report C2022-1051, the following be added as Recommendation 7, as amended: 7. Council directs Administration to come prepared for the 2022 December 13 Strategic Meeting of Council to engage in: a. a review of practices, policies and procedures (including the budget process) and communications that were successful or unsuccessful in 2022; and b. creation of a process by which Council will provide guidance/direction to Administration to: i. revisit the existing budget process to examine its merits and challenges, ii. explore ways of ensuring that future budget documents better align with Councils Plain Language Policy CS014; iii. potentially reconstruct the 2024, 2025 and 2026 budgets with Administration to ensure future base operating and capital budgets include the investments necessary to advance Calgary as an increasingly equitable and accessible city - including but not limited to investments in housing, mobility and transit are embedded in future base operating and capital budgets; the reconstructed base budgets for future; and iv. revisit operating and capital plans and priorities to ensure expeditious delivery of projects and programs that are rooted in the core values and policies of Council, including but not limited to truth and reconciliation, the 5A Network, low-income transit passes, improved transit frequency, affordable housing, mental health supports, and equity index maps.",Regular Meeting of Council,2022/11/08,MOTION CARRIED,15,12,3,,,,,,
"That the Amendment to Report C2022-1051 to add a Recommendation 7 be amended by replacing the amendment with the following: 7. Council directs Administration to come prepared for the 2022 December 13 Strategic Meeting of Council to engage in: a. a review of practices, policies and procedures (including the budget process) and communications that were successful or unsuccessful in 2022; and b. creation of a process by which Council will provide guidance/direction to Administration to: i. revisit the existing budget process to examine its merits and challenges, ii. explore ways of ensuring that future budget documents better align with Councils Plain Language Policy CS014; iii. potentially reconstruct the 2024, 2025 and 2026 budgets with Administration to ensure future base operating and capital budgets include the investments necessary to advance Calgary as an increasingly equitable and accessible city ;- including but not limited to investments in housing, mobility and transit are embedded in future base operating and capital budgets; the reconstructed base budgets for future; and iv. revisit operating and capital plans and priorities to ensure expeditious delivery of projects and programs that are rooted in the core values and policies of Council, including but not limited to truth and reconciliation, the 5A Network, low-income transit passes, improved transit frequency, affordable housing, mental health supports, and equity index maps.",Regular Meeting of Council,2022/11/08,MOTION CARRIED,15,15,0,,,,,,
"That with respect to Report IP2023-0368, the following be adopted: That Council: Receive the Assessing a Closed System as Part of The City of Calgary Transit Safety Strategy Report in Attachment 2 for information; Direct Administration to report back to Council in 2023 Q3 with a comprehensive multi-disciplinary transit safety strategy outlining the roles, responsibilities, and resources required for an integrated customer and safety service delivery model between Calgary Transit, Emergency Management and Community Safety, Corporate Security, Calgary Police Service and Community Partners to be included in the Standing Executive Committee ItemStrategic Discussion on Building and Delivering on Plans and Budgets for consideration as part of the Adjustments to service plans and budgets in 2023 November;",Regular Meeting of Council,2023/06/06,MOTION CARRIED,15,14,1,,,,,,
"That with respect to Notice of Motion EC2025-0995, the Recommendations be amended by adding the following as new Recommendations: AND FURTHER BE IT RESOLVED that Administration be directed to prepare amendments to Bylaw 1P2007 land use maps to allow R-CG, R-G or H-GO zoning in Major and Community Activity Centres and within 600m of the Primary Transit Network as defined in the Municipal Development Plan.",Regular Meeting of Council,2025/12/15,MOTION DEFEATED,15,2,13,,,,,,
"That with respect to Report C2025-0901, the following amendment be adopted: ; That a new sub-bullet be inserted under Recommendation 1, as follows: ; Directing City Administration to freeze ;the proposed property tax increase ;for existing residential and non-residential properties, and ensure the property tax ;adjustment for 2026 is 0% ;by: ; Offsetting the cost of the previous councils approved 1.64% tax increase in budget adjustments and savings; and ; These adjustments should not rely on changes to funding for police, fire, and transit",Regular Meeting of Council,2025/12/03,MOTION DEFEATED,15,5,10,,,,,,
"That with respect to Report C2024-1097, the following be adopted, as amended: That Council: Approve the plan and budget adjustments as articulated in the following: a. REVISED Attachment 3 Recommended Investments, subject to the following changes: i. With respect to the Grey Cup Committee and the Quebéc-Calgary Committee (Carnaval Committee): 1. Allocate $25,000 in one-time operating budget in 2025 and $25,000 in one-time operating budget in 2026 towards existing Grey Cup Committee budget ;(Arts and Culture) ;for their annual event, to be funded from Fiscal Stability Reserve (FSR) which is scheduled to receive an estimated $38 million favourable year-end variance; 2. Allocate $25,000 in one-time operating budget in 2025 and $25,000 in one-time operating budget in 2026 towards existing Carnaval Committee (Arts and Culture) budget for their annual event, to be funded from Fiscal Stability Reserve (FSR) which is scheduled to receive an estimated $38 million favourable year-end variance; and 3. Use the actual expenditure amounts from 2025 and 2026 to inform the addition of base funding for ongoing funding of the Grey Cup Committee and the Carnaval Committee in the 2027-2030 budget cycle. ii. On page 56 (Implementing the recommendations from the Downtown Safety Leadership Table) of Revised Attachment 3, move the one-time funding for the Civic Partner Community Safety Grant Program of $2,000,000 in 2025 and 2026, to base in 2025 under Economic Development and Tourism service line to be funded from the identified net base budget increase. iii. Direct Administration to increase $750,000 from the ;Fiscal Stability Reserve to Community Strategies for one-time operating funding for 2025 and 2026 to Family and Community Support Services to support additional applications cut-off due to demand in excess of budget and to support inflationary escalation on City allocation that has not been increased since the start of this business cycle (2023-2026). b. REVISED ;Attachment 5 Capital Budget Adjustments, subject to the following changes: Allocating $20,000,000 in capital budget funding in 2025 towards improved pavement rehabilitation and reconstruction (Streets Service Line Budget ID P128_132), to be funded from Reserve for Future Capital. Allocating $7,500,000 in capital budget in 2025 and $7,500,000 in capital budget in 2026 to Recreation Opportunities- Budget ID A446551 towards identified and presently unfunded recreation projects that require initiation, repair and/or maintenance, to be funded from Fiscal Stability Reserve (FSR) which is scheduled to receive an estimated $38 million favourable year-end variance. c. Attachment 6 Operating Budget Adjustments with No Net Budget Impact, subject to the following changes: i. Cancel the relinquishment of one-time funding of $400,000 in 2025 and 2026 as presented in Attachment 6 page 2 of 4 (Relinquishment of one-time operating budget for Inglewood facility); ii. Reinstate one-time operating budget of up to $400,000 in 2025 and 2026, and up to $400,000 in 2025 for capital upgrades, all from the Fiscal Stability Reserve. d. Attachment 7 Carry Forward of One-Time Operating Budget e. Attachment 10 Technical Performance Measure Adjustments Approve the list of Council priority metrics in Attachment 9 - Priority Metrics and Advancing Measurement and Reporting; For the user fee and rate adjustments in Attachment 4: a. Approve the user fee adjustments in Attachments ;4A-4B, and Attachment 4C, subject to the following changes: i. That the table titled Streets be amended by deleting the $7.00 per square foot charge proposed for 2025 and 2026 for Street Use Permits Seasonal Cafes/Patios, and replacing it with $0.00 for Street Use Permits Seasonal Cafes/Patios for 2025 and 2026; and b. Give three readings to Proposed Bylaws 37M2024, 38M2024, 41M2024, 39M2024 and 40M2024. For the borrowing bylaws in Attachment 15: a. Give three readings to Proposed Bylaws 8B2024 and 9B2024; b. Give first reading to Proposed Bylaws 10B2024 and 11B2024; and c. Direct Administration to advertise Proposed Bylaws 10B2024 and 11B2024 as set out in the ;Municipal Government Act, RSA 2000, c. M-26, and return to Council for second and third readings once the advertising requirements have been met. With respect to the Calgary Police Service, to revise the proposal of Calgary Police Commission, found in Distribution 2 of Report C2024-1097, and replace $9,500,000 in funding from the Community Safety Investment Framework for the Firearms Range identified on page 8 of Distribution 2 with $9,500,000 from the Fiscal Stability Reserve and approve the adjustments on pages 7 through 10 of Distribution 2. Direct Administration to initiate a two-year pilot to better understand base budget requirements for property tax cancellation of historic resource properties by: Allocating one-time operating budget of $150,000 in each of 2025 and 2026 to City Planning and Policy, and allocating one-time operating budget of $450,000 in 2025 and $550,000 in 2026 to Common Revenue services, for a total of $1,300,000 towards Designated Historical Resource Property Tax Cancellation and Subclass in Distribution 1, to be funded from Fiscal Stability Reserve (FSR) which is scheduled to receive an estimated$38 million favourable year-end variance; and Use the actual amounts from the 2025 and 2026 pilot to inform the addition of base funding for ongoing property tax cancellation of historic resource properties in the 2027-2030 budget cycle. ; Allocate $65,000 in one-time operating budget in 2025 towards HMCS Calgary 30th Anniversary and Ongoing Calgary Salutes Support in Distribution 1, to be funded from Fiscal Stability Reserve (FSR) which is scheduled to receive an estimated $38 million favourable year-end variance. Direct Administration to: Prepare a summary document for Council before end of Q1 2025 that outlines how positive year-end variances have compared year over year, as well as the acceptable level of volatility for year-end variances given that municipalities cannot operate with a deficit; and Conduct a quarterly assessment of projected year-end variance and allocate funds to the prioritized unfunded project list throughout the year. Approve the one-time $775,000 operating investment Strengthening Transparency: Improving Engagement with Calgarians in Distribution 1, to be funded from the Fiscal Stability Reserve. With respect to Calgarys Mental Health and Addictions strategy, request the Office of the Mayor to write a letter to advocate for permanent provincial funding for Calgarys Mental Health and Addictions Strategy. Provide one-time operating funding of $500,000 from the Fiscal Stability Reserve as a one-time allocation in each of 2025 and 2026 to City Planning and Policy to support Downtown Service Level Enhancement and an additional $500,000 in one-time operating funding in each of 2025 and 2026 from the Fiscal Stability Reserve, to continue enabling the provision of City service, support, and grant funding of community-based festivals, events, and public activations enjoyed by all Calgarians throughout the year and particularly in the greater downtown area and thus supporting our diversity, destination, and events strategies funded by Fiscal Stability Reserve. Transfer $1,500,000 from the Council Innovation Fund to the Council Community Fund. Allocate $2,500,000 in capital budget in 2025 for parks and playground amenities upgrades (Parks & Open Spaces Budget ID P500_006), funded from the Reserve for Future Capital.",Regular Meeting of Council,2024/11/05,MOTION CARRIED,15,9,6,,,,,,
"That Council: 1. Approve the plan and budget adjustments as articulated in the following: a. REVISED Attachment 3 Recommended Investments, subject to the following changes: i. With respect to the Grey Cup Committee and the Quebéc-Calgary Committee (Carnaval Committee): 1. Allocate $25,000 in one-time operating budget in 2025 and $25,000 in one-time operating budget in 2026 towards existing Grey Cup Committee budget ;(Arts and Culture) ;for their annual event, to be funded from Fiscal Stability Reserve (FSR) which is scheduled to receive an estimated $38 million favourable year-end variance; 2. Allocate $25,000 in one-time operating budget in 2025 and $25,000 in one-time operating budget in 2026 towards existing Carnaval Committee (Arts and Culture) budget for their annual event, to be funded from Fiscal Stability Reserve (FSR) which is scheduled to receive an estimated $38 million favourable year-end variance; and 3. Use the actual expenditure amounts from 2025 and 2026 to inform the addition of base funding for ongoing funding of the Grey Cup Committee and the Carnaval Committee in the 2027-2030 budget cycle. ii. On page 56 (Implementing the recommendations from the Downtown Safety Leadership Table) of Revised Attachment 3, move the one-time funding for the Civic Partner Community Safety Grant Program of $2,000,000 in 2025 and 2026, to base in 2025 under Economic Development and Tourism service line to be funded from the identified net base budget increase. iii. Direct Administration to increase $750,000 from the ;Fiscal Stability Reserve to Community Strategies for one-time operating funding for 2025 and 2026 to Family and Community Support Services to support additional applications cut-off due to demand in excess of budget and to support inflationary escalation on City allocation that has not been increased since the start of this business cycle (2023-2026). b. REVISED ;Attachment 5 Capital Budget Adjustments, subject to the following changes: Allocating $20,000,000 in capital budget funding in 2025 towards improved pavement ;rehabilitation and reconstruction (Streets Service Line Budget ID P128_132), to be funded from ;Reserve for Future Capital Reserve. Allocating $7,500,000 in capital budget in 2025 and $7,500,000 in capital budget in 2026 to Recreation Opportunities- Budget ID A446551 towards identified and presently unfunded recreation projects that require initiation, repair and/or maintenance, to be funded from Fiscal Stability Reserve (FSR) which is scheduled to receive an estimated $38 million favourable year-end variance. c. Attachment 6 Operating Budget Adjustments with No Net Budget Impact, subject to the following changes: i. Cancel the relinquishment of one-time funding of $400,000 in 2025 and 2026 as presented in Attachment 6 page 2 of 4 (Relinquishment of one-time operating budget for Inglewood facility); ii. Reinstate one-time operating budget of up to $400,000 in 2025 and 2026, and up to $400,000 in 2025 for capital upgrades, all from the Fiscal Stability Reserve. d. Attachment 7 Carry Forward of One-Time Operating Budget e. Attachment 10 Technical Performance Measure Adjustments 2. Approve the list of Council priority metrics in Attachment 9 - Priority Metrics and Advancing Measurement and Reporting; 3. For the user fee and rate adjustments in Attachment 4: a. Approve the user fee adjustments in Attachments ;4A-4B, and Attachment 4C, subject to the following changes: i. That the table titled Streets be amended by deleting the $7.00 per square foot charge proposed for 2025 and 2026 for Street Use Permits Seasonal Cafes/Patios, and replacing it with $0.00 for Street Use Permits Seasonal Cafes/Patios for 2025 and 2026; and b. Give three readings to Proposed Bylaws 37M2024, 38M2024, 41M2024, 39M2024 and 40M2024. 4. For the borrowing bylaws in Attachment 15: a. Give three readings to Proposed Bylaws 8B2024 and 9B2024; b. Give first reading to Proposed Bylaws 10B2024 and 11B2024; and c. Direct Administration to advertise Proposed Bylaws 10B2024 and 11B2024 as set out in the ;Municipal Government Act, RSA 2000, c. M-26, and return to Council for second and third readings once the advertising requirements have been met. 5. With respect to the Calgary Police Service, to revise the proposal of Calgary Police Commission, found in Distribution 2 of Report C2024-1097, and replace $9,500,000 in funding from the Community Safety Investment Framework for the Firearms Range identified on page 8 of Distribution 2 with $9,500,000 from the Fiscal Stability Reserve and approve the adjustments on pages 7 through 10 of Distribution 2. ; 6. Direct Administration to initiate a two-year pilot to better understand base budget requirements for property tax cancellation of historic resource properties by: ; Allocating one-time operating budget of $150,000 in each of 2025 and 2026 to City Planning and Policy, and allocating one-time operating budget of $450,000 in 2025 and $550,000 in 2026 to Common Revenue services, for a total of $1,300,000 towards Designated Historical Resource Property Tax Cancellation and Subclass in Distribution 1, to be funded from Fiscal Stability Reserve (FSR) which is scheduled to receive an estimated$38 million favourable year-end variance; and Use the actual amounts from the 2025 and 2026 pilot to inform the addition of base funding for ongoing property tax cancellation of historic resource properties in the 2027-2030 budget cycle. ; 7. Allocate $65,000 in one-time operating budget in 2025 towards HMCS Calgary 30th Anniversary and Ongoing Calgary Salutes Support in Distribution 1, to be funded from Fiscal Stability Reserve (FSR) which is scheduled to receive an estimated $38 million favourable year-end variance. 8. Direct Administration to: Prepare a summary document for Council before end of Q1 2025 that outlines how positive year-end variances have compared year over year, as well as the acceptable level of volatility for year-end variances given that municipalities cannot operate with a deficit; and Conduct a quarterly assessment of projected year-end variance and allocate funds to the prioritized unfunded project list throughout the year. 9. Approve the one-time $775,000 operating investment Strengthening Transparency: Improving Engagement with Calgarians in Distribution 1, to be funded from the Fiscal Stability Reserve. 10. ;With respect to Calgarys Mental Health and Addictions strategy, request the Office of the Mayor to write a letter to advocate for permanent provincial funding for Calgarys Mental Health and Addictions Strategy. 11. Provide one-time operating funding of $500,000 from the Fiscal Stability Reserve as a one-time allocation in each of 2025 and 2026 to City Planning and Policy to support Downtown Service Level Enhancement and an additional $500,000 in one-time operating funding in each of 2025 and 2026 from the Fiscal Stability Reserve, to continue enabling the provision of City service, support, and grant funding of community-based festivals, events, and public activations enjoyed by all Calgarians throughout the year and particularly in the greater downtown area and thus supporting our diversity, destination, and events strategies funded by Fiscal Stability Reserve. 12. Transfer $1,500,000 from the Council Innovation Fund to the Council Community Fund. 13. Allocate $2,500,000 in capital budget in 2025 for parks and playground amenities upgrades (Parks & Open Spaces Budget ID P500_006), funded from the Reserve for Future Capital.",Regular Meeting of Council,2024/11/22,MOTION CARRIED,15,9,6,,,,,,
"That with respect to Report C2025-0901, the following amendment be adopted: ; That a new sub-bullet be inserted under Recommendation 1, as follows: ; Directing City Administration to freeze ;the proposed property tax increase ;for existing residential and non-residential properties, and ensure the property tax ;adjustment for 2026 is 0% ;by: ; Offsetting the cost of the previous councils approved 1.64% tax increase in budget adjustments and savings; and ; These adjustments should not rely on changes to funding for police, fire, and transit",Regular Meeting of Council,2025/11/10,MOTION DEFEATED,15,5,10,,,,,,
"That with respect to Report C2021-0058, the following be adopted: That Council: 1. Rescind Bylaw 156D2020. 2. Give three readings to Proposed Bylaw 13D2021 for the redesignation of 31.28 hectares ± (77.29 acres ±) located at 6125 - 117 Street NW (NE1/4 Section 6-25-2-5) from Special Purpose Future Urban Development (S-FUD) District to Multi-Residential Low Profile (M-1) District, Residential One Dwelling (R-1) District, Residential Low Density Mixed Housing (R-G) District, Special Purpose City and Regional Infrastructure (S-CRI) District, Special Purpose Community Reserve (S-SPR) District, Special Purpose Urban Nature (S-UN) District and DC Direct Control District to accommodate mixed-use commercial with guidelines (Attachment 3).",Combined Meeting of Council,2021/02/08,MOTION CARRIED,14,14,0,,,,,,
"That with respect to Report CPC2021-0857, the following be adopted: That Council: Give three readings to Proposed Bylaw 41P2021 for amendments to the Bridgeland-Riverside Area Redevelopment Plan (Attachment 4); and Give three readings to Proposed Bylaw 118D2021 for the redesignation of 2.47 hectares ± (6.10 acres ±) located at 15 11A Street NE (Portion of Plan 273JK, Block C, Lot 1) from Direct Control District to Mixed Use - General (MU1-f4.0h50) District, Special Purpose School, Park and Community Reserve (S-SPR) District and Direct Control District to accommodate mixed-use development, with guidelines (Attachment 3).",Combined Meeting of Council,2021/07/26,MOTION CARRIED,14,14,0,,,,,,
"That with respect to Report CPC2021-1013, the following be adopted: That Council: Give three readings to Proposed Bylaw 135D2021 for the redesignation of 41.01 hectares ± (101.34 acres ±) located at 15113, 15350, 15620, 15717 and 16028 37 Street SW (Portions of NE1/4 Section 36-22-2-5; Portions of NW1/4 Section 31-22-1-5; Portions of Section 31-22-1-5, Subdivision 5; Portions of SE1/4 Section 36-22-2-5; Portions of Section 31-22-1-5, Subdivisions 3, 4 and 6) from Special Purpose Future Urban Development (S-FUD) District to Multi-Residential High Density Low Rise (M-H1) District, Multi-Residential Medium Profile (M-2) District, Residential Low Density Mixed Housing (R-G) District, Commercial Community (C-C1) District, Special Purpose Recreation (S-R) District, Special Purpose City and Regional Infrastructure (S-CRI) District, Special Purpose School, Park and Community Reserve (S-SPR) District, Special Purpose Urban Nature (S-UN) District and Direct Control District to accommodate residential development, with guidelines (Attachment 5); Give three readings to Proposed Bylaw 136D2021 for the redesignation of 9.11 hectares ± (22.50 acres ±) located at 15113 and 15350 37 Street SW (Portions of NE1/4 Section 36-22-2-5; Portions of NW1/4 Section 31-22-1-5) from Special Purpose Future Urban Development (S-FUD) District to Direct Control District to accommodate mixed-use development, with guidelines (Attachment 6); and Give three readings to Proposed Bylaw 137D2021 for the redesignation of 7.77 hectares ± (19.19 acres ±) located at 15350 and 15620 37 Street SW (Portions of NW1/4 Section 31-22-1-5; Portions of Section 31-22-1-5, Subdivision 5) from Special Purpose Future Urban Development (S-FUD) District to Direct Control District to accommodate educational and recreational development, with guidelines (Attachment 7).",Combined Meeting of Council,2021/09/13,MOTION CARRIED,14,14,0,,,,,,
"That with respect to Report CPC2021-1124, the following be adopted: That Council: Give three readings to Proposed Bylaw 53P2021 for the amendment to the Revised Calgary West Area Structure Plan (Attachment 3); and Give three readings to Proposed Bylaw 154D2021 for the redesignation of 19.60 hectares ± (48.46 acres ±) located 221 101 Street SW (Plan 7911036, Block 1) from Special Purpose Future Urban Development (S-FUD) District and Special Purpose Transportation Utility Corridor (S-TUC) District to Residential Low Density Mixed Housing (R-G) District, Multi-Residential Low Profile (M-1) District, Special Purpose School, Park and Community Reserve (S-SPR) District, Special Purpose Urban Nature (S-UN) District, Special Purpose City and Regional Infrastructure (S-CRI) District and Direct Control District to accommodate residential development, with guidelines (Attachment 4).",Combined Meeting of Council,2021/09/13,MOTION CARRIED,14,14,0,,,,,,
"That with respect to Revised Notice of Motion EC2025-0117, the following be adopted: NOW THEREFORE BE IT RESOLVED that Council direct Administration to return to Executive Committee by Q2 2026 with a scoping report, workplan, and supporting budget request for consideration in the 2027-2030 Service Plans and Budgets for a: Vacant Property Tax Program, which includes but is not limited to: A program for vacant land targeted toward incentivizing development through variable tax rates; A program for derelict properties targeted toward incentivizing development through variable tax rates; Eligibility criteria to identify and assess vacant or derelict residential properties, including parcels with and without any improvements and a communications strategy and methods by which property owners would be notified of the program; Recommendations for whether additional residential sub-class(es) and necessary bylaw(s) for their creation are needed; Recommendations for directing any taxes collected from these programs, after the capital and operational costs of establishing and administrating the program are recovered, to the Housing Land Fund to support capital funding for Affordable Housing;",Regular Meeting of Council,2025/01/28,MOTION CARRIED,14,12,2,,,,,,
"That with respect to Report EC2025-0727, the following be adopted: That Council: Direct Administration to return to the 2025 November Adjustments to the 2023 2026 Business Plans and Budgets with a recommendation to help address the infrastructure maintenance funding gap by increasing capital budget by $62.2 million in 2026, funded from a one-time realized gain on sale of investments that will be contributed to the Fiscal Stability Reserve at year-end. Direct Administration to identify a sustainable long-term funding source to support the change in terms of reference for the Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged from 2.6 per cent to 5.0 per cent of annual property tax revenue, and to return to Council with a recommendation as part of the 2027 - 2030 Business Plans and Budgets.",Regular Meeting of Council,2025/07/29,MOTION CARRIED,14,14,0,,,,,,
"That with respect to Notice of Motion EC2025-0520, the following be adopted: NOW THEREFORE BE IT RESOLVED that Council direct Administration to develop an Infrastructure Reinvestment Program specifically positioned to address the growing infrastructure service gap, with the following considerations: Identifying and consolidating stable and sustainable funding sources, including but not limited to utility rates, grants, property taxes, project reprioritization, and user fees; Reviewing current funds, such as the Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged account, and the attached funding sources, against programs in other jurisdictions, such as the Dedicated Renewal Fund in Edmonton; Solidifying clear criteria for prioritizing infrastructure reinvestment projects based on factors such as condition, risk, service levels, impacts on growth and alignment with strategic objectives; Matching reinvestment work with redevelopment opportunities and infrastructure upgrades with public infrastructure owners to minimize cumulative costs of lifecycle capital outlays; Ensuring transparency and accountability through regular reporting on program performance, expenditures, and outcomes; Exploring potential contributions from other orders of government to share risks and costs associated with infrastructure reinvestment, including intergovernmental communications, which estimate the economic benefit related to properly maintaining key City infrastructure; Providing recommendations for implementation, including timelines, resource requirements, and governance structures; Preparing a Council-mandated report, to be embedded in all future budgets, which outlines historic and forecasted reinvestment rates, future reinvestment rate recommendations, historic funding rates compared to inflation and connected outcomes to the Infrastructure Status Report. AND FURTHER BE IT RESOLVED that Administration report back to Council with the proposed Infrastructure Reinvestment Program no later than Q3, 2026, to be considered as part of the 2027-30 four-year budget.",Regular Meeting of Council,2025/05/27,MOTION CARRIED,14,9,5,,,,,,
"That with respect to Report CPC2021-0509, the following be adopted: That Council give three readings to Proposed Bylaw 81D2021 for the redesignation of 67.85 hectares ± (167.67 ±) located at 22000 Sheriff King Street SW (Portions of S1/2 Section 10-22-1-5) from Special Purpose Future Urban Development (S-FUD) District to Residential Low Density Mixed Housing (R-G) District, Residential Low Density Mixed Housing (R-Gm) District, Multi-Residential Low Profile (M-1) District, Multi-Residential Low Profile Support Commercial (M-X1) District, Special Purpose City and Regional Infrastructure (S-CRI) District, Special Purpose School, Park and Community Reserve (S-SPR) District and Special Purpose Urban Nature (S-UN) District.",Combined Meeting of Council,2021/05/31,MOTION CARRIED,13,13,0,,,,,,

"That with respect to Report IP2023-0368, the following be adopted: That Council: Approve the one-time operating budget transfer of $5.3 million in 2023 to the Public Transit Service from the Fiscal Stability and Operating Budget Savings Account Merged Reserve for immediate safety and infrastructure improvements as set out in Table 2 of Attachment 3.",Regular Meeting of Council,2023/06/06,MOTION CARRIED,15,11,4,Wellness,Resource Use,Budget / Finance,Support,High,"Transit safety improvements and rider confidence investment"

"That with respect to Notice of Motion EC2022-0638, the following be adopted: NOW THEREFORE BE IT RESOLVED That Council direct Administration to return to Council during the 2023-2026 budget discussions with a workplan and budget request to support the work for a report to Council by 2023 Q3 considering the development of a Housing and Affordability Task Force and refreshed Corporate Affordable Housing Strategy.",Combined Meeting of Council,2022/06/07,MOTION CARRIED,15,12,3,Wellness,Community,Housing Policy,Support,High,"Affordable housing strategy expansion and implementation planning"

"That with respect to Revised Notice of Motion EC2025-0117, the following be adopted: NOW THEREFORE BE IT RESOLVED that Council direct Administration to return with a Vacant Property Tax Program including directing taxes collected to the Housing Land Fund to support Affordable Housing.",Regular Meeting of Council,2025/01/28,MOTION CARRIED,14,12,2,Economy,Governance,Budget / Finance,Support,High,"Vacant property tax discourages stagnation and supports housing supply"

"That with respect to Confidential Verbal Report EC2024-0809, the following be adopted: That Council confirm direction to phase construction by Building the Core and increase budget for the Green Line Stage 1 Program.",Regular Meeting of Council,2024/07/30,MOTION CARRIED,15,10,5,Resource Use,Economy,Budget / Finance,Support,High,"Green Line transit investment with major long-term infrastructure impact"

"That with respect to Notice of Motion EC2025-0995, the Recommendations be amended by adding the following as new Recommendations: allow R-CG, R-G or H-GO zoning in Major and Community Activity Centres and within 600m of the Primary Transit Network.",Regular Meeting of Council,2025/12/15,MOTION DEFEATED,15,2,13,Community,Wellness,Land Use,Support,High,"Allows increased housing density near transit and activity centres"

